time_s,dP_Pa,O2_pct,exhale_state
70.077,0.0,20.93,0
70.177,0.0,20.93,0
70.277,0.0,20.93,0
70.377,0.0,20.93,0
70.477,0.0,21.21,0
70.577,0.0,21.21,0
70.677,0.0,21.21,0
70.777,0.0,21.21,0
70.877,0.0,21.21,0
70.977,0.0,21.21,0
71.077,0.0,21.21,0
71.177,0.0,21.21,0
71.277,0.0,21.21,0
71.377,0.0,21.21,0
71.477,0.0,21.21,0
71.577,0.0,21.21,0
71.677,0.0,21.21,0
71.777,0.044,21.21,0
71.877,0.0,21.21,0
71.977,0.044,21.21,0
72.077,0.0,21.21,0
72.177,0.0,21.21,0
72.277,0.0,21.21,0
72.377,0.044,21.21,0
72.477,0.0,21.21,0
72.577,0.044,21.21,0
72.677,0.0,21.21,0
72.777,0.0,21.21,0
72.877,0.0,21.21,0
72.977,0.0,21.21,0
73.077,0.0,21.21,0
73.177,0.0,21.21,0
73.277,0.0,21.21,0
73.377,0.0,21.21,0
73.477,0.0,21.21,0
73.577,0.0,21.21,0
73.677,0.0,21.21,0
73.777,0.0,21.21,0
73.877,0.0,21.21,0
73.977,0.0,21.21,0
74.077,0.0,21.21,0
74.177,0.0,21.21,0
74.277,0.0,21.21,0
74.377,0.0,21.21,0
74.477,0.0,21.21,0
74.577,0.0,21.21,0
74.677,0.0,21.21,0
74.777,0.0,21.21,0
74.877,0.0,21.21,0
74.977,0.0,21.21,0
75.077,0.0,21.21,0
75.177,0.0,21.21,0
75.277,0.0,21.21,0
75.377,0.0,21.21,0
75.477,0.0,21.21,0
75.577,0.0,21.21,0
75.677,0.0,21.21,0
75.777,0.0,21.21,0
75.877,0.0,21.21,0
75.977,0.0,21.21,0
76.077,0.0,21.21,0
76.177,0.0,21.21,0
76.277,0.0,21.21,0
76.377,0.0,21.21,0
76.477,0.0,21.21,0
76.577,0.0,21.21,0
76.677,0.0,21.21,0
76.777,0.044,21.21,0
76.877,0.044,21.21,0
76.977,0.044,21.21,0
77.077,0.044,21.21,0
77.177,0.044,21.21,0
77.277,0.044,21.21,0
77.377,0.044,21.21,0
77.477,0.0,21.21,0
77.577,0.044,21.21,0
77.677,0.044,21.21,0
77.777,0.044,21.21,0
77.877,0.044,21.21,0
77.977,0.044,21.21,0
78.077,0.044,21.21,0
78.177,0.044,21.21,0
78.277,0.044,21.21,0
78.377,0.044,21.21,0
78.477,0.0,21.21,0
78.577,0.0,21.21,0
78.677,0.044,21.21,0
78.777,0.0,21.21,0
78.877,0.0,21.21,0
78.977,0.0,21.21,0
79.077,0.0,21.21,0
79.177,0.044,21.21,0
79.277,0.0,21.21,0
79.377,0.044,21.21,0
79.477,0.044,21.21,0
79.577,0.0,21.21,0
79.677,0.044,21.21,0
79.777,0.044,21.21,0
79.877,0.044,21.21,0
79.977,0.044,21.21,0
80.077,0.044,21.21,0
80.177,0.0,21.21,0
80.277,0.0,21.21,0
80.377,0.0,21.21,0
80.477,0.0,21.21,0
80.577,0.044,21.21,0
80.677,0.044,21.21,0
